alias,chainguard_image
rancher/system-upgrade-controller,rancher-system-upgrade-controller
ratify-project/ratify,ratify
ratify-project/ratify-crds,ratify
rayproject/kuberay-operator,kuberay-operator
rclone/rclone,rclone
redis,redis
redis,redis-sentinel
redis/redisinsight,redisinsight
redpandadata/redpanda,redpanda
regclient/regbot,regclient
regclient/regctl,regclient
regclient/regsync,regclient
registry.gitlab.com/gitlab-com/gl-security/engineering-and-research/automation-team/spam/spamcheck,spamcheck
registry.gitlab.com/gitlab-org/build/cng/certificates,gitlab
registry.gitlab.com/gitlab-org/build/cng/gitaly,gitlab
registry.gitlab.com/gitlab-org/build/cng/gitlab-mailroom,gitlab-mailroom
registry.gitlab.com/gitlab-org/build/cng/gitlab-sidekiq-ce,gitlab
registry.gitlab.com/gitlab-org/build/cng/gitlab-toolbox-ce,gitlab
registry.gitlab.com/gitlab-org/build/cng/gitlab-webservice-ce,gitlab
registry.gitlab.com/gitlab-org/build/cng/gitlab-workhorse-ce,gitlab
registry.gitlab.com/gitlab-org/cloud-native/gitlab-operator,gitlab-operator
registry.k8s.io/autoscaling/addon-resizer,kubernetes-autoscaler-addon-resizer
registry.k8s.io/autoscaling/cluster-autoscaler,cluster-autoscaler
registry.k8s.io/autoscaling/vpa-admission-controller,vertical-pod-autoscaler
registry.k8s.io/autoscaling/vpa-recommender,vertical-pod-autoscaler
registry.k8s.io/autoscaling/vpa-updater,vertical-pod-autoscaler
registry.k8s.io/capi-ipam-ic/cluster-api-ipam-in-cluster-controller,cluster-api-ipam-provider-in-cluster
registry.k8s.io/cloud-provider-gcp/cloud-controller-manager,cloud-provider-gcp-cloud-controller-manager
registry.k8s.io/cloud-provider-gcp/gcp-compute-persistent-disk-csi-driver,gcp-compute-persistent-disk-csi-driver
registry.k8s.io/cloud-pv-vsphere/cloud-provider-vsphere,cloud-provider-vsphere
registry.k8s.io/cluster-api-aws/cluster-api-aws-controller,cluster-api-aws-controller
registry.k8s.io/cluster-api-azure/cluster-api-azure-controller,cluster-api-azure-controller
registry.k8s.io/cluster-api-gcp/cluster-api-gcp-controller,cluster-api-gcp-controller
registry.k8s.io/cluster-api-vsphere/cluster-api-vsphere-controller,cluster-api-vsphere-controller
registry.k8s.io/conformance,kube-conformance
registry.k8s.io/cpa/cluster-proportional-autoscaler,cluster-proportional-autoscaler
registry.k8s.io/csi-secrets-store/driver,secrets-store-csi-driver
registry.k8s.io/csi-secrets-store/driver-crds,secrets-store-csi-driver-crds
registry.k8s.io/defaultbackend,kubernetes-ingress-defaultbackend
registry.k8s.io/descheduler/descheduler,descheduler
registry.k8s.io/dns/k8s-dns-node-cache,kubernetes-dns-node-cache
registry.k8s.io/external-dns/external-dns,external-dns
registry.k8s.io/git-sync/git-sync,git-sync
registry.k8s.io/ingress-nginx/controller,ingress-nginx-controller
registry.k8s.io/kube-apiserver,kubernetes
registry.k8s.io/kube-controller-manager,kubernetes
registry.k8s.io/kube-proxy,kubernetes
registry.k8s.io/kube-scheduler,kubernetes
registry.k8s.io/networking/ip-masq-agent,ip-masq-agent
registry.k8s.io/pause,kubernetes
registry.k8s.io/provider-aws/cloud-controller-manager,cloud-provider-aws
registry.k8s.io/sig-storage/csi-attacher,kubernetes-csi-external-attacher
registry.k8s.io/sig-storage/csi-node-driver-registrar,kubernetes-csi-node-driver-registrar
registry.k8s.io/sig-storage/livenessprobe,kubernetes-csi-livenessprobe
registry.k8s.io/sig-storage/local-volume-node-cleanup,local-volume-node-cleanup
registry.k8s.io/sig-storage/local-volume-provisioner,local-volume-provisioner
registry.k8s.io/sig-storage/nfsplugin,kubernetes-csi-driver-nfs
registry.k8s.io/sig-storage/objectstorage-controller,objectstorage
registry.k8s.io/sig-storage/objectstorage-sidecar,objectstorage
registry.k8s.io/sig-storage/snapshot-controller,kubernetes-csi-external-snapshotter
registry.k8s.io/sig-storage/snapshotter,kubernetes-csi-external-snapshotter
registry.opensource.zalan.do/acid/postgres-operator,postgres-operator
registryk8s,cluster-api
renovate/renovate,renovate
resmoio/kubernetes-event-exporter,kubernetes-event-exporter
returntocorp/semgrep,semgrep
rke2-cloud-provider/rke2-cloud-provider,rke2-cloud-provider
rocker/rstudio,rstudio
rook/ceph,rook-ceph
rqlite/rqlite,rqlite
ruby,ruby
runatlantis/atlantis,atlantis
rust,rust
rwynn/monstache,monstache
s3-controller,aws-s3-controller
sbtscala/scala-sbt,sbt
selenium/base,selenium
selenium/distributor,selenium
selenium/event-bus,selenium
selenium/hub,selenium
selenium/node-base,selenium
selenium/node-chromium,selenium
selenium/node-docker,selenium
selenium/node-firefox,selenium
selenium/router,selenium
selenium/session-queue,selenium
selenium/sessions,selenium
selenium/standalone-chromium,selenium
selenium/standalone-docker,selenium
selenium/standalone-firefox,selenium
semitechnologies/weaviate,weaviate
shadowsocks/sslocal-rust,shadowsocks-rust
shadowsocks/ssserver-rust,shadowsocks-rust
siderolabs/image-factory,image-factory
siderolabs/omni,omni
signalfx/splunk-otel-collector,splunk-otel-collector
sigstore/cosign/cosign,cosign
sigstore/fulcio,fulcio
sigstore/rekor/rekor-server,rekor
sigstore/scaffolding/createctconfig,sigstore-scaffolding
sigstore/scaffolding/createdb,sigstore-scaffolding
sigstore/scaffolding/createtree,sigstore-scaffolding
sigstore/scaffolding/getoidctoken,sigstore-scaffolding
sigstore/scaffolding/managectroots,sigstore-scaffolding
sigstore/scaffolding/rekor-createsecret,sigstore-scaffolding
sigstore/scaffolding/updatetree,sigstore-scaffolding
sigstore/timestamp-server,timestamp-authority
skopeo/stable,skopeo
smallstep/step-ca,step-ca
smallstep/step-cli,step-cli
smallstep/step-issuer,step-issuer
smarter-project/smarter-device-manager,smarter-device-manager
solr,solr
sonarqube,sonarqube
sonarsource/sonar-scanner-cli,sonar-scanner-cli
sonobuoy/sonobuoy,sonobuoy
sonobuoy/systemd-logs,sonobuoy-systemd-logs
spark,spark
spegel-org/spegel,spegel
spiffe/oidc-discovery-provider,spire
spiffe/spiffe-helper,spiffe-helper
spiffe/spire-agent,spire
spiffe/spire-controller-manager,spire-controller-manager
spiffe/spire-server,spire
sqlpad/sqlpad,sqlpad
stakater/reloader,stakater-reloader
statsd/statsd,statsd
stoplight/prism,prism
strimzi/kafka,strimzi-kafka
strimzi/kafka-bridge,kafka-bridge
strimzi/operator,strimzi-kafka-operator
sustainable_computing_io/kepler,kepler
swiftlang/swift,swift
tailscale,tailscale
target/vela-cli,vela-cli
tchiotludo/akhq,akhq
tektoncd/github.com/tektoncd/chains/cmd/controller,tekton-chains
telegraf,telegraf
temporalio/admin-tools,temporal-admin-tools
temporalio/server,temporal-server
temporalio/ui,temporal-ui-server
tensorflow/tensorflow,tensorflow
terraform-linters/tflint,tflint
thelastpickle/cassandra-reaper,cassandra-reaper
thingsboard/tb,thingsboard
tiermobility/boring-registry,boring-registry
tigera/operator,tigera-operator
timberio/vector,vector
timescale/timescaledb,timescaledb-compat
tomcat,tomcat
tomkerkhove/promitor-agent-scraper,promitor-agent-scraper
topolvm/pvc-autoresizer,pvc-autoresizer
traefik,traefik
tremolosecurity/kube-oidc-proxy,kube-oidc-proxy
trinodb/trino,trino
trufflesecurity/trufflehog,trufflehog
turbot/steampipe,steampipe
ubuntu,chainguard-base
ubuntu/jre,adoptium-jre
ubuntu/jre,jre
ubuntu/prometheus-alertmanager,prometheus-alertmanager
ubuntu/squid,squid-proxy
us-docker.pkg.dev/fairwinds-ops/oss/pluto,pluto
us-docker.pkg.dev/oplabs-tools-artifacts/images/op-geth,op-geth
us-docker.pkg.dev/secretmanager-csi/secrets-store-csi-driver-provider-gcp/plugin,secrets-store-csi-driver-provider-gcp
us-docker.pkg.dev/spinnaker-community/docker/kayenta,kayenta
valkey/valkey,valkey
vault,vault
velero/velero,velero
velero/velero-plugin-for-aws,velero-plugin-for-aws
velero/velero-plugin-for-microsoft-azure,velero-plugin-for-microsoft-azure
velero/velero-restore-helper,velero-restore-helper
viaductoss/ksops,ksops
victoriametrics/operator,victoriametrics-operator
victoriametrics/victoria-metrics,victoria-metrics
victoriametrics/victoria-metrics,victoriametrics
vitess/lite,vitess-lite
vllm/vllm-openai,vllm-openai
vmware/kube-fluentd-operator,kube-fluentd-operator
volcanosh/vc-controller-manager,volcano
volcanosh/vc-scheduler,volcano
volcanosh/vc-webhook-manager,volcano
wagoodman/dive,dive
warpstreamlabs/bento,bento
wave-k8s/wave,wave
wavefronthq/proxy,wavefront-proxy
wavefronthq/wavefront-kubernetes-collector,wavefront-collector-for-kubernetes
wildfly/wildfly,wildfly
willwill/wait-for-it,wait-for-it
wiremock/wiremock,wiremock
wordpress,wordpress
wrouesnel/postgres_exporter,prometheus-postgres-exporter
wso2/wso2is,wso2is
xpkg.upbound.io/crossplane-contrib/provider-keycloak,crossplane-keycloak
xunholy/kustomize-mutating-webhook,kustomize-mutating-webhook
yonahdissen/kor,kor
zachomedia/cert-manager-webhook-pdns,cert-manager-webhook-pdns
zalando-incubator/kube-metrics-adapter,kube-metrics-adapter
zitadel/zitadel,zitadel
